lane,place,time,champs,sex,event
2,7,43.47,Paris 2003,F,4x100m
7,7,DNF,Paris 2003,F,4x100m
6,1,41.78,Helsinki 2005,F,4x100m
4,2,41.99,Helsinki 2005,F,4x100m
5,3,42.56,Helsinki 2005,F,4x100m
3,4,42.85,Helsinki 2005,F,4x100m
7,5,42.99,Helsinki 2005,F,4x100m
1,6,43.07,Helsinki 2005,F,4x100m
8,7,43.25,Helsinki 2005,F,4x100m
2,8,43.49,Helsinki 2005,F,4x100m
4,1,41.98,Osaka 2007,F,4x100m
7,2,42.01,Osaka 2007,F,4x100m
6,3,42.75,Osaka 2007,F,4x100m
2,4,42.87,Osaka 2007,F,4x100m
5,5,42.97,Osaka 2007,F,4x100m
8,6,43.37,Osaka 2007,F,4x100m
3,7,43.51,Osaka 2007,F,4x100m
9,8,43.57,Osaka 2007,F,4x100m
5,1,42.06,Berlin 2009,F,4x100m
3,2,42.29,Berlin 2009,F,4x100m
4,3,42.87,Berlin 2009,F,4x100m
6,4,43.13,Berlin 2009,F,4x100m
1,5,43.16,Berlin 2009,F,4x100m
2,6,43.43,Berlin 2009,F,4x100m
7,7,43.71,Berlin 2009,F,4x100m
8,4,DQ,Berlin 2009,F,4x100m
4,1,41.56,Daegu 2011,F,4x100m
6,2,41.70,Daegu 2011,F,4x100m
8,3,42.51,Daegu 2011,F,4x100m
5,4,42.70,Daegu 2011,F,4x100m
7,5,42.93,Daegu 2011,F,4x100m
2,6,43.10,Daegu 2011,F,4x100m
3,4,DQ,Daegu 2011,F,4x100m
1,5,DQ,Daegu 2011,F,4x100m
6,1,41.29,Moscow 2013,F,4x100m
5,2,42.75,Moscow 2013,F,4x100m
3,3,42.87,Moscow 2013,F,4x100m
1,4,42.90,Moscow 2013,F,4x100m
2,5,42.93,Moscow 2013,F,4x100m
7,6,43.28,Moscow 2013,F,4x100m
4,6,DQ,Moscow 2013,F,4x100m
8,6,DNF,Moscow 2013,F,4x100m
6,1,41.07,Beijing 2015,F,4x100m
5,2,41.68,Beijing 2015,F,4x100m
4,3,42.03,Beijing 2015,F,4x100m
7,4,42.10,Beijing 2015,F,4x100m
3,5,42.64,Beijing 2015,F,4x100m
9,6,43.05,Beijing 2015,F,4x100m
2,6,DQ,Beijing 2015,F,4x100m
8,6,DQ,Beijing 2015,F,4x100m
4,1,41.82,London 2017,F,4x100m
5,2,42.12,London 2017,F,4x100m
7,3,42.19,London 2017,F,4x100m
6,4,42.36,London 2017,F,4x100m
9,5,42.51,London 2017,F,4x100m
3,6,42.62,London 2017,F,4x100m
8,7,42.63,London 2017,F,4x100m
2,8,43.07,London 2017,F,4x100m
4,1,41.44,Doha 2019,F,4x100m
6,2,41.85,Doha 2019,F,4x100m
7,3,42.10,Doha 2019,F,4x100m
9,4,42.18,Doha 2019,F,4x100m
2,5,42.48,Doha 2019,F,4x100m
5,6,42.71,Doha 2019,F,4x100m
3,7,42.98,Doha 2019,F,4x100m
8,7,DQ,Doha 2019,F,4x100m
